title,developer,publisher,tags,overview
World of Warships,Wargaming Group Limited ,Wargaming Group Limited ,"['Free to Play', 'Naval', 'World War II', 'Multiplayer', 'PvP', 'Action', 'Online Co-Op', 'Massively Multiplayer', 'Strategy', 'Team-Based', 'Shooter', 'Tactical', 'Simulation', 'War', 'Realistic', 'Military', 'Anime', 'Singleplayer', 'Co-op', 'World War I']",over 200 historic naval vessel be yours to command in world of warship the ultimate free to play mmo action experience fight for naval supremacy in a variety of ship fire a battleship big gun sneak in with a destroyer charge with a cruiser or darken the sky with carrier squadron strategize then strike world of warship let you experience epic naval combat like never before assemble and customize a fleet of gorgeously detailed ship and bring them into a variety of realistic battle scenario across beautifully render real world locale jump into a random skirmish for a quick pvp clash team up with friend for a challenging pve scenario battle or put your skill to the test in rank battle if you be look for a real war get your clan action on develop your clan earn extra climb to the top of the clan league and be the good on the server augment your fleet with a captain bounty of customization option enhance equipment modification camouflage flag and more recruit a commander and use their inherent skill on your favorite ship to improve crew performance and ship survivability world of warship offer an incredible free to play action strategy challenge think you can handle it download and play today featuresover 200 wwi and wwii vessel from the most powerful naval nation different type of ship destroyer cruiser battleship and aircraft carrier 31 unique battle location from tropical water to icy northern scenery variable weather rain snow and fog can influence the course of battle unique battle type scenario save fort escort support vessel and rescue survivor free to win with equal access to all gameplay feature commander to hire and train they will suit your playstyle clan functionality team up with friend outstanding graphic intuitive customizable control daily container and combat mission complete them all to receive your reward
Star Trek Online,Cryptic Studios ,Perfect World Entertainment ,"['Free to Play', 'Sci-fi', 'Massively Multiplayer', 'Space', 'RPG', 'MMORPG', 'Open World', 'Action', 'Multiplayer', 'Character Customization', 'Third Person', 'Adventure', 'PvP', 'Singleplayer', 'Co-op', 'PvE', 'Strategy', 'Online Co-Op', 'Tactical', 'Action RPG']", 
Yu-Gi-Oh! Duel Links,Konami Digital Entertainment ,Konami Digital Entertainment ,"['Free to Play', 'Card Game', 'Anime', 'Multiplayer', 'Strategy', 'Trading Card Game', 'Singleplayer', 'Casual', 'RPG', 'Action', 'Adventure', 'Open World', 'Great Soundtrack']",take on duelist around the world with yu gi oh duel link star studded lineup include yugi kaiba joey mai and more voice from the anime heighten the duel experience intuitive control for beginner the depth to satisfy yu gi oh veteran signature monster with stunning 3d animation build your ultimate deck and aim for the top step into a world that cross dimension and connect all duelist in duel world any location transform into a duel field where heated duel unfold japanese text can only be select if you start the game in japan japanese voice be not available feature duelsthe yu gi oh tcg trading card game can be play digitally with newly design intuitive control optimize for your personal computer also signature monster like dark magician and blue eye white dragon make their appearance with dynamic visual single campaign duel world duel as your favorite character from the yu gi oh world and complete stage mission to earn various reward new card can be obtain from the shop duelistschallenge yugi kaiba joey mai and other legendary duelist complete specific mission to unlock and these character earn skill and reward by level up your favorite character online pvpwith yu gi oh duel link engage in heated duel anytime and anywhere against player around the world climb through the ranking and claim the title of king of games decksbuild your very own deck with card you collect in game and take on opponent stay tune for future card addition about yu gi oh yu gi oh be a popular manga create by kazuki takahashi that be serialize in shueisha inc s weekly shonen jump from 1996 konami digital entertainment co ltd provide a trading card game tcg and video game base on the yu gi oh anime series create from the original manga that be enjoy around the world
Paladins®,Evil Mojo Games ,Hi-Rez Studios ,"['Free to Play', 'Multiplayer', 'FPS', 'Shooter', 'Action', 'Team-Based', 'First-Person', 'MOBA', 'PvP', 'Online Co-Op', 'Early Access', 'Fantasy', 'Strategy', 'Co-op', 'Massively Multiplayer', 'Funny', 'Adventure', 'Survival', 'Anime', 'Memes']",join 25 million player in paladin the free to play fantasy team base shooter sensation wield gun and magic as a legendary champion of the realm customize your core set of ability to play exactly how you want to play paladin be set in a vibrant fantasy world and feature a diverse cast of champion range from sharpshoot human to mech ride goblin mystical elf and jetpack clothe dragon each champion bring a unique set of ability to the battlefield and new champion be regularly add to paladins keep the game exciting paladins be completely free to play anything that affect gameplay can be unlock simply by play with cosmetic item available for purchase no matter what your playstyle be you will find it in paladin with paladin deckbuilding system you can become an iron sight sniper a grenade sling explosive expert or a track star with an assault rifle all as the same champion choose from dozen of card to customize your ability and make each champion your own ancient goddess interstellar bounty hunter cutthroat pirate frost giant you can be all of these and more in paladin choose from hundred of skin already available in paladin or find a new favorite in each update
SMITE®,Titan Forge Games ,Hi-Rez Studios ,"['Free to Play', 'MOBA', 'Multiplayer', 'Action', 'Third Person', 'Mythology', 'Team-Based', 'Competitive', 'Strategy', 'Co-op', 'PvP', 'Massively Multiplayer', 'RPG', 'e-sports', 'MMORPG', 'Adventure', 'Funny', 'Survival', 'Nudity', 'Casual']",enter the battleground of the godsjoin the million of smite player compete in the free to play battleground of the god smite be the multiplayer online battle arena for player of every skill level with a grow roster of more than 90 god smite feature recognizable icon from global mythology launch lightning bolt as zeus assassinate from the shadow as loki or charge into battle as the mighty monkey king sun wukong smite have competition for everyone enter the arena the perfect game mode for player hungry for fast pace battle look for a more strategic experience conquest be smite premiere competitive mode crush the oppose god and slay their titan for a triumphant victory test your divine skill against the good of the good smite player in rank climb the ladder from bronze to master and claim your place at the top assemble a team and enter the world of smite esports power your way through and compete on the main stage to become a world champion
Brawlhalla,Blue Mammoth Games ,Ubisoft ,"['Free to Play', 'Multiplayer', 'Fighting', '2D', '2D Fighter', 'Action', 'Local Multiplayer', 'Platformer', 'Controller', 'Co-op', 'Local Co-Op', ""Beat 'em up"", 'Online Co-Op', '4 Player Local', 'Early Access', 'Indie', 'Singleplayer', 'Massively Multiplayer', 'Survival', 'Adventure']",brawlhalla an eternal battle arena where the great warrior in history brawl to prove who be the good that ever be be or will be every match be an epic test of skill speed and strength and every victory bring additional glory and bragging right to the winner these slugfest be salt with powerful weapon and gadget fighter scramble to grab sword axis hammer blaster rocket lance and more every weapon change your play style and your option gadget like mine bomb and spiked sphere add even more danger into the mix let fighter change the course of battle with a well timed throw or carefully lay trap brawlhalla be a free to play 2d platform fighting game feature both online and local singleplayer and multiplayer online rank 1v1 a personal test of skill where you match up against a single opponent to claim untold level of personal glory in brawlhalla online rank 2v2 bolster your rank with a friend to prove your mettle wit and teamwork in frenetic 2v2 battle 4 player online free for all ranked or casual match where four fighter enter but only one can win 8 player 4v4 ffa because the only thing better than four legend vie for bragging right be eight legend vie for bragging right local free for all up to 4 player can play in free for all mode on one computer perfect for friendly face off local custom team team up on your local machine with up to four player or bot for living room level mayhem local single player tournament square off against bot in a three game tournament series perfect for warmup or score grinder alternate game mode brawlball bombsketball and more provide casual party game just for fun alternate game mode with completely different objective and just as much competition the training room practice combo and setup inside the training room look at frame datum hitboxe hurtboxes and sharpen your skill for use how we do free to playbrawlhalla will always be 100 free to play with no pay to win advantage and no in game purchase to keep you from the action everything you can buy with real money be cosmetic such as character skin podium and ko effect and none of them effect gameplay the legend rotation of eight free to play character change every week and you can earn gold to unlock more legend by play any online game mode you can also check out our all legend pack that immediately unlock every character we have ever make and ever will make forever heres what you can expect from brawlhallaweekly patch and update online custom rank and local play mode over 40 legend to choose from and a free 8 character weekly rotation unlockable with gold earn through play the game load of stage to fight on unique signature move weapon combination and stat for each character rank season every three month with seasonal reward for play rank a constant stream of new feature balance tweak and legend to make the game better and better excited dev active everywhere eagerly listen to what you think our eternal thank you be our favorite development roadmaprecently addedmajor gameplay improvement balance new legend dashingnetworking improvementsadvancement systemlarge team mode 4v4 clan supportsoon more weaponsmore mapsmore legendsongoing gameplay and feature improvementslater full player profile and statistic novelty itemsofficial crew battle support team clan crew guild and band of brawlhallan can challenge one another in crew battle to claim which crew have the most powerful contender even more mapseven more legendsongoing gameplay improvement expand clan supportbut all of this will change base on what you tell us be always listen to community feedback and value what player be tell us throughout early access the brawlhalla community help steer the direction of development multiple time to make brawlhalla the good it can be that will remain the same as we continue to improve expand and adjust brawlhalla base on community feedback post launch
World of Tanks Blitz,Wargaming Group Limited ,Wargaming Group Limited ,"['Tanks', 'Free to Play', 'Multiplayer', 'Action', 'World War II', 'War', 'Massively Multiplayer', 'Strategy', 'Shooter', 'PvP', 'Simulation', 'Military', 'Online Co-Op', 'Competitive', 'Arcade', 'FPS', 'Singleplayer', 'Open World', 'First-Person', 'Psychological Horror']",world of tank blitz be a cross platform free to play team base mmo action game dedicate to fierce tank combat throw yourself into intense battle against steam player and challenge gamer on mobile mac and windows 10 control and upgrade over 200 legendary armored vehicle across 4 diverse class master your tactic on over a dozen map join up with your friend in a platoon to reap in game bonus and reward and complete battle mission to truly test your skill featuresover 200 iconic vehicle from germany japan france the uk usa ussr and china4 different vehicle class include light tank medium tank heavy tank and tank destroyersstrategic 7 vs 7 online multiplayer gameplay 18 unique battle arenasin game chat functionalityinnovative crew upgrade systemcross platform gameplayconstant graphical enhancement and update as well as optimization for various platformsreal life physics to create authentic tank movement and damage mechanicsdetaile tutorialsability to invite your friend to play online in game achievementsfree to play with equal access to in game element for pay and non pay playerseasy to learn intuitive controlsbattle mission that open up fresh personalize challenge of vary difficulty and enable player to earn bonus and achievementsclan functionality allow player to unite in their pursuit of victorytraine room that allow you to team up with friend to master game map and tacticsto learn how and what we use your personal datum for read our privacy policy
Shadowverse CCG,"Cygames, Inc. ","Cygames, Inc., Cygames Korea Inc. ","['Free to Play', 'Card Game', 'Anime', 'Strategy', 'Trading Card Game', 'Fantasy', 'Multiplayer', 'Sexual Content', 'Turn-Based', 'Nudity', 'Competitive', 'Singleplayer', 'JRPG', 'Adventure', 'Casual', 'MMORPG']",  four million battle every day one shadowverse japans 1 strategic card game make by card gamer for card gamer one of my favorite game this year ignshadowverse be japans 1 strategic card game there be million of shadowverse battle every day and a multitude of way to play easy to get into thank to a singleplayer story mode free card pack for new player and bonus every day battle be finely balance with less rng than other card game and balance adjustment take place every month new card expansion be release every three month unleash new deck building strategy and battle tactic we have get a great community of 18 million player and count with tournament and esports broadcast every week and support for streamer feature beautiful art and animation and fully voice card and story a multitude of way to play with eight different leader class shadowverse give you unparalleled freedom to create your own deck strategy will you play as urias and unleash your vengeance when your health be deplete or will you select isabelle whose spell power up the card in your hand will you go all in with an aggro deck or try to contain the board with a control deck or will you try to sneak in some sublimely ingenious combo its entirely up to you easy to get into learn the basic by play through our extensive singleplayer story mode before take on other player in our multiplayer mode be sure to pick up your free card pack after you have finish play through the tutorial just go to your crate from the main menu to pick them up and bonus and daily mission help you unlock new card pack every day so it will not be long before you have a deck that be capable of compete with the very best finely balanced there s less rng in shadowverse than other card game make it supremely balanced you will need to trust your judgement not your luck if you be to come out on top and we make balance adjustment every month to make sure that no one card or deck type become too dominant new card expansion release regularly new card expansion be add every three month to make sure the meta never get stale and every single expansion unleash new deck building strategy and battle tactic and even new leader class and game mode be in this for the long haul and we hope you will be too beautiful art all of the card in shadowverse feature fantastic art by some of japans fine artist and every single card be available as an animate version every card be also fully voice in english and japanese as be the singleplayer storyline a great community and last but not least we have some amazing fan we have get meme we have get stream and we have much much more to offer than the average card game community tournament and e sport broadcast take place every week and there be a ton of deck building resource online in case you get stuck million of card gamer can not be wrong why do not you join them
DCS World Steam Edition,Eagle Dynamics SA ,The Fighter Collection ,"['Simulation', 'Flight', 'Free to Play', 'Military', 'Multiplayer', 'Realistic', 'War', 'Open World', 'Action', 'Shooter', 'Singleplayer', 'TrackIR', 'Co-op', 'VR', 'Tanks', 'Sandbox', 'First-Person', 'FPS', 'Massively Multiplayer', 'Strategy']",feel the excitement of fly the su 25 t frogfoot attack jet and the tf 51d mustang in the free to play digital combat simulator world the open beta version of digital combat simulator world dcs world 2 5 be a free to play digital battlefield game and simulation environment the release version will be available shortly after open beta testing be complete the open beta be an optional version of dcs world that we use to first test new content and technology before move them to our release version our dream be to offer the most authentic and realistic simulation of military aircraft tank ground vehicle and ship possible this free download include a vast mission area of the caucasus region and black sea that encompass much of georgia it also include a flyable russian sukhoi su 25 t ground attack aircraft and the famous wwii north american tf 51d fighter an additional 25 aircraft be available for purchase the download come with one of the most powerful mission editor ever design full network play and more than 156 ai weapon system 105 ground vehicle and train 50 air defense system 19 ship and 84 ai aircraft permit you to plan and play highly sophisticated mission dcs world be massively extensible through additional dcs module as well as user make add on and mod which you can purchase and download from our site dcs be a true sandbox simulation that be also design to cover multiple time period of interest such as wwii korean war vietnam gulf war and other current region to battle include the caucasus nevada test and training range and normandy 1944 new map in development include the persian syria afghanistan and other dcs world be fundamentally a deep authentic and realistic simulation design also to offer a more relaxed gameplay to suit the user and his particular level of experience and train the ambition be to hand hold user from novice pilot all the way to the most advanced and sophisticated operator of such complex weapon system as the a 10c warthog or the f a 18c hornet the only next step be the real thing key feature of dcs world 2 5 the most realistic free to play digital battlefield ever one of a kind internally develop graphic engine that look amazing from 0 to 80 000 foot include a beautiful free and highly detailed map of the caucasus region that include south western russia and georgia include million of building million of km of usable road and railway more than 50 million tree and 20 fully equip operational airbase include 156 free and fully operational weapon system 105 ground vehicle 19 ship and 84 ai control aircraft fly the tf 51 mustang and su 25 t attack jet for free play all dcs world module from one dcs world version state of the art graphic with amazing lighting shadow and performance new breathtaking effect for explosion cloud fog fire and smoke hundred of land air and seaborne ai vehicle the world be your sandbox create your own mission and campaign for unlimited gameplay mission generator include allow rapid mission creation enjoy multiplayer with friend and even fly together in the same aircraft for multi crew mission purchase and fly the most iconic airplane and helicopter from wwii up to the modern day mouse interactive 6 degree of freedom cockpit for most aircraft and the most accurate flight model cockpit system sensor target system and sound available purchase and fly the most authentic simulation of the a 10c warthog uh 1h huey f 86f sabre spitfire and many other now exciting new aircraft come to dcs world like the f 14 tomcat f a 18c hornet f 4e phantom ii mi 24p hind p 47d thunderbolt and many more purchase additional high quality map such as normandy 1944 the nevada test and training range and the persian gulf play hundred of mission and campaign with new campaign continually create both hardcore realistic and casual gameplay mode and option available
Heroes & Generals,RETO MOTO ,RETO MOTO ,"['Free to Play', 'World War II', 'Multiplayer', 'FPS', 'War', 'Shooter', 'Action', 'First-Person', 'Massively Multiplayer', 'Tactical', 'Co-op', 'Strategy', 'Historical', 'Open World', 'Singleplayer', 'Simulation', 'Atmospheric', 'Adventure', 'Early Access', 'Indie']",hero generals be a full on all out war experience thousand of player fight one massive clash of nation the first to capture 15 city take the glory fight alongside newfound brother from all over the world in multiple battle rage persistently as general strategize and deploy resource to assist their man as a soldier everything you do influence the war every kill you make every tank you destroy every town you capture matter even glorious defeat because sometimes to win the war many must die choose how you fighthow you fight and the speed of progression be up to you experience the rush of close quarter combat the pleasure of pick off the enemy at range the power of unleash hell from a tank or wreak havoc from an aircraft the choice be yours master your own arsenalyou own and master your equipment unleash the terror of the badass panther tank the power of the yak 9b fighter 20 mm cannon or the stealth of an m8 greyhound load out with the deadly pps 43 the legendary tommy gun or the rare but lethal fg 42 65 weapon 70 vehicle and aircraft be available to add to your arsenal if that s not enough you can always use your wrench to humiliate the enemy key featureschoose your fight as infantry recon tank crew paratrooper or even a fighter pilot fight in close quarter infantry encounter in large skirmish with vehicle or in huge land and aerial assault win or lose everything you do contribute to the war unlock a vast variety of weapon vehicle plane ammo upgrade earn over 35 different combat badge to boost your ability and get the upper hand choose your allegiance fight the war for the united states germany or the soviet union progress to become a general and gain ultimate power to strategize and deploy resource in battle
The Elder Scrolls®: Legends™,"Sparkypants Studios, LLC ",Bethesda Softworks ,"['Free to Play', 'Card Game', 'Multiplayer', 'Strategy', 'Trading Card Game', 'Singleplayer', 'Fantasy', 'Great Soundtrack', 'Board Game', 'Action', 'Atmospheric', 'Nudity']",play on your ownstory mode provide hour of solo gameplay in which you will earn new legend card deck and pack or draft a deck from scratch and battle a series of computer opponent play against otherst your deck against friend challenge online opponent in ranked play or draft a deck from scratch and battle other player who have do the same pick your battleslegend gameplay feature a divide battlefield with lane that deepen your strategy option
Tree of Savior (English Ver.),"IMCGAMES Co.,Ltd. ","IMCGAMES Co.,Ltd. ","['MMORPG', 'Massively Multiplayer', 'Free to Play', 'RPG', 'Anime', 'Fantasy', 'Adventure', 'Cute', 'Great Soundtrack', 'Action', 'JRPG', 'Multiplayer', 'Open World', 'Isometric', 'Nudity', 'Action RPG', 'Hack and Slash', 'Co-op', 'Memes', 'Dating Sim']",tree of savior tos be an mmorpg in which you embark on a journey to search for the goddess in a world in chaos fairy tale like color accompany with beautiful graphic will have you savor every precious moment experience throughout your gameplay major characteristic distinct art style massive freedom of choice develop your own playstyleteam battle league pvp content joust your skill with other in the arena guild war gvg content no place be safe from enemy guild member in the open field or even in instance dungeon style cute and charming look character and background diverse costume and expressionsscale numerous character class 8 rank enough class and rank combination to keep you tinker for your exact buildhidden advanced class achieve only through special requirementsdiverse theme comprise a multitude of world and levelsabundant field and dungeon content and hide questsmore than 200 unique boss monstersfreedom of choice different job skill and stat give possibility to a variety of combination no fix route choose which path you wish to takecommunity the community can be access anytime no matter where you may beautomatic party finding form party with nearby player that will automatically disband when far apartraids give low level character opportunity to join raid even at early stage of game play server use active matchmaking to call for automatic party findingstatistic information be accumulate and post to show ranking for almost everything in gamethe statistic provide allow player to see how other player be do
